"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"K014","Transports i serveis relacionats","Autobusos diürns","428175.677","4575056.096","428083.764","4574855.229","2.140697","41.321964","BUS -PR4-88--","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430514.593","4588306.149","430422.662","4588105.158","2.167119","41.441507","NITBUS -N4--","08","48","Nou Barris","la Guineueta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431956.127","4587628.237","431864.183","4587427.252","2.18445","41.435525","BUS -62-96-126-133--","09","60","Sant Andreu","Sant Andreu","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","429372.339","4587606.848","429280.419","4587405.864","2.153529","41.435109","NITBUS -N4--","07","43","Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430580.533","4587065.408","430488.601","4586864.429","2.168051","41.430338","BUS -V27--","08","44","Nou Barris","Vilapicina i la Torre Llobeta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428791.068","4585039.461","428699.152","4584838.501","2.146875","41.411935","BUS -87--","06","28","Gràcia","Vallcarca i els Penitents","",""
"K016","Transports i serveis relacionats","Autobus a l'aeroport","430766.26","4582292.013","430674.325","4582091.078","2.170821","41.387362","AEROBUS -A2--","02","07","Eixample","la Dreta de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429170.59","4580920.343","429078.67","4580719.421","2.151898","41.374869","BUS -L70--","03","11","Sants-Montjuïc","el Poble-sec","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431376.348","4581004.947","431284.407","4580804.024","2.178263","41.375823","NITBUS -N0--","01","02","Ciutat Vella","el Barri Gòtic","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","428566.477","4581967.626","428474.562","4581766.695","2.144551","41.384248","NITBUS -N0--","02","09","Eixample","la Nova Esquerra de l'Eixample","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432817.624","4587108.655","432725.672","4586907.675","2.194818","41.430918","NITBUS -N9--","09","60","Sant Andreu","Sant Andreu","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431240.457","4585734.393","431148.519","4585533.426","2.1761","41.418407","BUS -H6--","07","35","Horta-Guinardó","el Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431776.828","4585563.432","431684.885","4585362.466","2.182537","41.416913","BUS -192-V25--","10","64","Sant Martí","el Camp de l'Arpa del Clot","",""
"K014","Transports i serveis relacionats","Autobusos diürns","434557.065","4585647.308","434465.096","4585446.341","2.215793","41.4179","BUS -H14-V33--","10","70","Sant Martí","el Besòs i el Maresme","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430325.735","4582787.75","430233.804","4582586.811","2.165495","41.391789","BUS -7-22-24-V15--","02","07","Eixample","la Dreta de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429693.664","4582154.22","429601.739","4581953.287","2.158009","41.386028","BUS -59--","02","08","Eixample","l'Antiga Esquerra de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429027.305","4581505.581","428935.386","4581304.654","2.150116","41.380128","BUS -V9--","02","09","Eixample","la Nova Esquerra de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","426896.511","4584718.493","426804.613","4584517.537","2.124248","41.408874","BUS -H2--","05","25","Sarrià-Sant Gervasi","Sant Gervasi - la Bonanova","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432815.692","4585339.128","432723.739","4585138.164","2.194992","41.414981","BUS -33-H10--","10","72","Sant Martí","Sant Martí de Provençals","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428337.307","4581819.334","428245.395","4581618.404","2.141828","41.382892","BUS -78-V7--","03","18","Sants-Montjuïc","Sants","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430631.911","4583367.937","430539.978","4583166.992","2.169091","41.397041","BUS -B24-H10--","02","07","Eixample","la Dreta de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430361.248","4583497.667","430269.317","4583296.721","2.165838","41.398186","BUS -6-33-34--","02","07","Eixample","la Dreta de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432253.81","4585634.667","432161.863","4585433.701","2.188236","41.417595","BUS -V27--","09","63","Sant Andreu","Navas","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432051.955","4589177.318","431960.01","4588976.319","2.185422","41.449485","BUS -76-H2-D50--","08","53","Nou Barris","la Trinitat Nova","",""
"K014","Transports i serveis relacionats","Autobusos diürns","433126.285","4582906.1","433034.329","4582705.159","2.198977","41.393093","BUS -59-H16-V27--","10","67","Sant Martí","la Vila Olímpica del Poblenou","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430136.502","4582136.955","430044.573","4581936.022","2.163307","41.385911","NITBUS -N1-N12-N13-N14-N15-N16-N17-N2-N7-N18-N28--","02","08","Eixample","l'Antiga Esquerra de l'Eixample","",""
"K014","Transports i serveis relacionats","Autobusos diürns","433606.231","4587841.044","433514.272","4587640.057","2.204175","41.43758","BUS -60-H8-V33-133--","09","59","Sant Andreu","el Bon Pastor","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428482.008","4586704.36","428390.096","4586503.385","2.142981","41.426902","BUS -112-119-185-V17--","07","40","Horta-Guinardó","Montbau","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","433402.41","4582872.161","433310.451","4582671.22","2.202284","41.39281","NITBUS -N6-N8-N28--","10","67","Sant Martí","la Vila Olímpica del Poblenou","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","432173.994","4583036.211","432082.047","4582835.269","2.187573","41.394185","NITBUS -N0--","10","66","Sant Martí","el Parc i la Llacuna del Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","433027.046","4583908.724","432935.091","4583707.773","2.197679","41.402115","BUS -V25--","10","68","Sant Martí","el Poblenou","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431056.303","4584968.485","430964.366","4584767.525","2.173984","41.411493","BUS -192-V23-191--","07","35","Horta-Guinardó","el Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432107.499","4591025.503","432015.555","4590824.487","2.185879","41.466136","BUS -83--","08","56","Nou Barris","Vallbona","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431632.585","4591131.957","431540.645","4590930.94","2.180181","41.467054","BUS -83--","08","56","Nou Barris","Vallbona","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431359.408","4590316.606","431267.47","4590115.597","2.177002","41.459687","BUS -83--","08","55","Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432156.87","4589638.773","432064.925","4589437.77","2.186626","41.45365","BUS -80-81--","08","53","Nou Barris","la Trinitat Nova","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432093","4589890.747","432001.055","4589689.741","2.185833","41.455914","BUS -80-81--","08","54","Nou Barris","Torre Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431250.994","4580894.726","431159.054","4580693.804","2.176777","41.374819","BUS -D20-H14--","01","01","Ciutat Vella","el Raval","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432400.926","4589002.944","432308.978","4588801.946","2.189619","41.447944","BUS -11--","09","57","Sant Andreu","la Trinitat Vella","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430417.976","4585534.86","430326.045","4585333.895","2.166282","41.416539","BUS -114--","07","34","Horta-Guinardó","Can Baró","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431399.651","4585573.774","431307.711","4585372.808","2.178023","41.416974","BUS -117--","07","35","Horta-Guinardó","el Guinardó","",""
"K014","Transports i serveis relacionats","Autobusos diürns","427990.902","4578207.292","427898.992","4578006.396","2.138115","41.350329","BUS -125--","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K014","Transports i serveis relacionats","Autobusos diürns","425600.91","4582992.572","425509.023","4582791.632","2.108961","41.39321","BUS -113--","04","21","Les Corts","Pedralbes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","434524.067","4584837.731","434432.098","4584636.771","2.215486","41.410606","BUS -7-B23--","10","70","Sant Martí","el Besòs i el Maresme","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","430183.514","4586856.166","430091.586","4586655.189","2.163324","41.428419","NITBUS -N4--","07","43","Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430979.004","4582451.063","430887.067","4582250.127","2.173347","41.388813","BUS -H16--","01","04","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","427477.395","4581584.501","427385.49","4581383.574","2.131573","41.3807","NITBUS -N3--","04","19","Les Corts","les Corts","",""
"K014","Transports i serveis relacionats","Autobusos diürns","429445.957","4588103.437","429354.036","4587902.449","2.154352","41.439588","BUS -102-185--","07","43","Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","428502.999","4577603.659","428411.084","4577402.768","2.144307","41.344938","BUS -23-109--","03","12","Sants-Montjuïc","la Marina del Prat Vermell","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431390.73","4590650.512","431298.792","4590449.5","2.177339","41.462697","NITBUS -N3--","08","55","Nou Barris","Ciutat Meridiana","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","428263.005","4584194.13","428171.094","4583993.178","2.140658","41.404274","NITBUS -N0--","05","26","Sarrià-Sant Gervasi","Sant Gervasi - Galvany","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","425241.529","4585198.153","425149.646","4584997.193","2.10439","41.413041","NITBUS -N10--","05","22","Sarrià-Sant Gervasi","Vallvidrera, el Tibidabo i les Planes","",""
"K014","Transports i serveis relacionats","Autobusos diürns","430182.185","4586788.253","430090.257","4586587.277","2.163316","41.427807","BUS -19-102-87-H2-V23--","07","43","Horta-Guinardó","Horta","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431383.853","4590647.579","431291.915","4590446.567","2.177257","41.46267","BUS -62-76-83--","08","55","Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns","431266.999","4590515.01","431175.062","4590313.999","2.175873","41.461466","BUS -62-76-83--","08","55","Nou Barris","Ciutat Meridiana","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431266.999","4590515.01","431175.062","4590313.999","2.175873","41.461466","NITBUS -N3--","08","55","Nou Barris","Ciutat Meridiana","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432411.689","4588689.182","432319.741","4588488.187","2.189783","41.445119","BUS -96-B19-H4--","09","60","Sant Andreu","Sant Andreu","",""
"K014","Transports i serveis relacionats","Autobusos diürns","432522.378","4586751.688","432430.428","4586550.711","2.191325","41.427678","BUS -11-H6--","09","61","Sant Andreu","la Sagrera","",""
"K015","Transports i serveis relacionats","Autobusos nocturns","431238.979","4590764.986","431147.042","4590563.972","2.175509","41.463715","NITBUS -N3--","","","","","",""
